32156208438,-6292763519,1
-2443026573,-8490747410,1
6774513842,-2912772004,-1
26952401891,-719155351.9,1
24133363524,-1515423748,-1
-61526277352,1.01444E+11,-1
-6.44658E+11,-30807511383,1
-5.81301E+11,-9539848502,-1
-48113986799,-15011773544,1
-67313070163,-21386576361,1
-56403484738,-35469200953,-1
19522245968,-4950405778,1
15628997473,-6103922225,1
12812176675,-6532535396,1
-27716994095,6373809462,-1
-35061691516,667804683.4,1
-34159805632,1181184274,1
4614007036,-566813877.2,1
-1491904769,-1632908940,1
-12110037344,-3629390552,1
18880821853,932064920.9,-1
-63430560741,-16649005419,1
-87538909981,-21200210966,1
3111210339,12920794304,1
-1386012192,8528879162,1
10086094012,8837199809,-1
22427800287,-2743955854,1
18726608726,-3010632027,-1
16872251023,-3467998289,-1
23588093417,-900315511.6,1
21532571327,-1087388530,1
21181097131,-1226815490,1
25072086042,4077917237,-1
22765008465,3775558481,1
23413422851,4146916998,-1
9577437100,10629450594,-1
2613433649,9946554698,1
26437282624,283241154.8,-1
23591673826,-36123700.84,1
25369104300,484796747.8,-1
29657644554,-87940802.19,-1
30260271672,-192403245.3,-1
28760751867,-290748813.2,-1
32248117833,945409320.3,1
26820363252,-71816109.24,1
24568766979,-245343134.6,1
29968527616,-1728305340,1
29030879846,-2142457467,1
9298902474,-4040609649,1
-1239898963,-5247601779,1
-5109109539,-5190505752,1
12854583036,992276090.5,1
4043150165,130020919.8,1
11506384844,1598912176,-1
22255572408,-1486009149,1
22239971059,-1538426097,-1
22245264429,-1570349429,1
-50718866001,-9185313981,1
-85811625545,-12068880596,1
-88720209119,-9240215792,1
4995196027,-9835636490,-1
-3788303169,-11474976838,1
-9998833203,-13075486544,-1
-1.45168E+11,-27696098658,1
-1.07876E+11,-19003814459,-1
-2.75775E+11,-50866855478,1
28918386102,-48742011.69,-1
27885604445,-270728604,1
28205475478,-8858959.611,-1
-6388722040,25016834810,-1
7851147463,20332662578,-1
17908915341,-1457995404,-1
-7480219505,7230511011,-1
-8233266002,3972782596,-1
9703901541,857267855.3,-1
12652911377,1297687235,1
5999743064,362275831.3,1
8492976742,866002366.9,-1
27692045563,662613334,1
18114263424,-1400308783,1
18766948457,-907188745.2,-1
24701964653,8135622434,-1
17894773905,8483306747,1
25215340855,9724762971,-1
15563092900,1692746600,1
19358027046,3094665210,1
5707475597,1073964446,1
30104190420,-141976559.4,1
29297336266,-732683988.6,1
26871623963,2611606426,-1
24820286731,2378245591,1
23678502111,2276960698,1
30427486051,-736809590.6,1
29057586431,-831450245.6,1
25027917496,-1451948587,1
18685603745,-5640613356,1
15327760897,-6264976485,1
12578734943,-6912052282,1
-68863251711,-9868589742,1
-58812991644,-13953151276,-1
-63047362133,-16987185304,1
13806245512,1376029579,-1
12740752425,1494642260,-1
13339202776,2635734252,-1
16681554210,-165174933.7,1
18651276422,98938329.57,-1
25797802913,346803513.9,-1
21367946592,600686164.2,-1
23758317756,2167811537,-1
24388730803,-1801294584,1
22471212061,-2371920159,1
21126021241,-2970222189,1
13292073732,-1109683257,1
8030870949,-2101813407,1
4635046849,-7036819071,1
7761505780,11016268870,1
7558369490,11978064139,-1
12200571546,10791654055,-1
-30543708496,-9819054099,1
-44759229533,-10055102802,1
-35095497589,-9589963479,-1
27663281942,-1409233122,-1
25821314139,-1978600389,1
25274186069,-1872431262,1
-52946027433,-5557857983,1
-63227263102,-7405692340,1
-79594866443,-11032177251,1
19224315709,-3205676493,1
17840182252,-3223101258,-1
11164604394,-5337441168,1
21930534445,385290963,1
22259589093,355523164.6,-1
25073376791,469985443.6,-1
24222182209,-878421866,-1
23115959020,-909290864.1,-1
20986386750,-122596608,1
12788240409,-4722456846,1
8105853663,-5553580558,1
6097304335,-6266175041,1
-25712232679,4518914594,-1
-4282971834,5310710558,-1
-14479961442,1494438171,-1
26465070216,-1239879976,1
23820804776,-1372830093,1
23617380111,-1614085666,1
9666213587,-2845518691,-1
5615123487,-3510119621,-1
5497566158,-3253928241,1
618347244.1,16114778200,-1
-3408038436,14949044949,1
-10842325421,12937853475,1
337145877.1,-4887007217,1
-53321885640,-16231633258,1
-56860284980,-24511371741,1
15883296291,-1762189601,1
14454886117,-1706359009,-1
31383057592,3878327191,-1
